mapbox_feature_id_v8,pc4,Plaatsnaam,Gemeente,Provincie,buurt_count,wijk_preview,linked_water_count,midwest_focus_v8,midwest_subregion_v8,map_lat_v8,map_lon_v8,map_point_method_v8,map_title_v8,map_subtitle_v8,layer_type_v8,search_text_v8
place::9446::amen,9446,Amen,Aa en Hunze,Drenthe,1,,,False,,52.99134999756276,6.737477183344539,township_centroid_jitter,Amen (9446),Aa en Hunze · Drenthe,place_point,Amen | Aa en Hunze | 9446
place::9465::anderen,9465,Anderen,Aa en Hunze,Drenthe,1,,,False,,52.99325615450218,6.711207661479848,township_centroid_jitter,Anderen (9465),Aa en Hunze · Drenthe,place_point,Anderen | Aa en Hunze | 9465
place::9467::anloo,9467,Anloo,Aa en Hunze,Drenthe,1,,,False,,52.988942186474006,6.74040223023464,township_centroid_jitter,Anloo (9467),Aa en Hunze · Drenthe,place_point,Anloo | Aa en Hunze | 9467
place::9468::annen,9468,Annen,Aa en Hunze,Drenthe,1,,,False,,52.9808364445523,6.738526397379387,township_centroid_jitter,Annen (9468),Aa en Hunze · Drenthe,place_point,Annen | Aa en Hunze | 9468
place::9654::annerveenschekanaal,9654,Annerveenschekanaal,Aa en Hunze,Drenthe,1,,,False,,52.99547651383861,6.740064540705514,township_centroid_jitter,Annerveenschekanaal (9654),Aa en Hunze · Drenthe,place_point,Annerveenschekanaal | Aa en Hunze | 9654
place::9458::balloo,9458,Balloo,Aa en Hunze,Drenthe,1,,,False,,52.984727052229815,6.73776456870068,township_centroid_jitter,Balloo (9458),Aa en Hunze · Drenthe,place_point,Balloo | Aa en Hunze | 9458
place::9459::balloerveld,9459,Balloërveld,Aa en Hunze,Drenthe,1,,,False,,52.9917748386716,6.738642226399085,township_centroid_jitter,Balloërveld (9459),Aa en Hunze · Drenthe,place_point,Balloërveld | Aa en Hunze | 9459
place::9457::deurze,9457,Deurze,Aa en Hunze,Drenthe,1,,,False,,52.996220338375934,6.711946122030902,township_centroid_jitter,Deurze (9457),Aa en Hunze · Drenthe,place_point,Deurze | Aa en Hunze | 9457
place::9463::eext,9463,Eext,Aa en Hunze,Drenthe,1,,,False,,52.98018376493386,6.741922061416694,township_centroid_jitter,Eext (9463),Aa en Hunze · Drenthe,place_point,Eext | Aa en Hunze | 9463
place::9658::eexterveen,9658,Eexterveen,Aa en Hunze,Drenthe,1,,,False,,52.981719915910745,6.728190084495398,township_centroid_jitter,Eexterveen (9658),Aa en Hunze · Drenthe,place_point,Eexterveen | Aa en Hunze | 9658
place::9659::eexterveenschekanaal,9659,Eexterveenschekanaal,Aa en Hunze,Drenthe,1,,,False,,53.00306959708153,6.717793647233488,township_centroid_jitter,Eexterveenschekanaal (9659),Aa en Hunze · Drenthe,place_point,Eexterveenschekanaal | Aa en Hunze | 9659
place::9464::eexterzandvoort,9464,Eexterzandvoort,Aa en Hunze,Drenthe,1,,,False,,52.979405125900065,6.720585820285835,township_centroid_jitter,Eexterzandvoort (9464),Aa en Hunze · Drenthe,place_point,Eexterzandvoort | Aa en Hunze | 9464
place::9454::ekehaar,9454,Ekehaar,Aa en Hunze,Drenthe,1,,,False,,52.98232480353263,6.73335522460235,township_centroid_jitter,Ekehaar (9454),Aa en Hunze · Drenthe,place_point,Ekehaar | Aa en Hunze | 9454
