mapbox_feature_id_v8,spot_id,headwater_id,subspot_id,water_display_name_v8,headwater_name,subspot_name,water_name,municipality_final_v8,province_final_v8,place_final_v8,pc4_final_v8,township_code_v8,township_name_v8,province_polygon_name_v8,municipality_source_v8,province_source_v8,place_source_v8,midwest_focus_v8,midwest_subregion_v8,map_lat_v8,map_lon_v8,map_point_method_v8,location_confidence_v8,night_status_final_v8,night_allowed_final_v8,shelter_status_final_v8,shelter_allowed_final_v8,third_rod_status_final_v8,third_rod_allowed_final_v8,session_triplet_v8,session_rule_summary_v3,authority,authority_url,water_type,flow,salinity,typical_depth_m,top1_species_general,top1_species_specific,top2_species_general,top2_species_specific,top3_species_general,top3_species_specific,access_parking,access_path,bank_type,boat_allowed,night_fishing_allowed,permit_notes,section_notes,night_evidence_best,shelter_evidence_best,third_rod_evidence_best,source_pdf,source_pdf_page,page,tags,habitat_tags,suggested_methods,record_quality_class_v8,record_quality_score_v8,is_bad_entry,suspected_bad_row,search_text_v8
HW-aalsmeer-wilgentocht::aalsmeer::0,HW-aalsmeer-wilgentocht,HW-aalsmeer-wilgentocht,,Wilgentocht,Wilgentocht,,Wilgentocht,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,ditch,still,fresh,0.5-2,Roofvis,Snoek,Roofvis,Baars,Witvis,Zeelt,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""ditch""]","[""riet"", ""polder"", ""ondiep""]","[""penvissen"", ""licht_spinnen"", ""dobbervissen""]",high,6,False,False,"Wilgentocht | Wilgentocht | [""Wilgentocht""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-freesiatocht::aalsmeer::1,HW-aalsmeer-freesiatocht,HW-aalsmeer-freesiatocht,,Freesiatocht,Freesiatocht,,Freesiatocht,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,ditch,still,fresh,0.5-2,Roofvis,Snoek,Roofvis,Baars,Witvis,Zeelt,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""ditch""]","[""riet"", ""polder"", ""ondiep""]","[""penvissen"", ""licht_spinnen"", ""dobbervissen""]",high,6,False,False,"Freesiatocht | Freesiatocht | [""Freesiatocht""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-de-horntocht-van-de-oosteinderpolder::aalsmeer::2,HW-aalsmeer-de-horntocht-van-de-oosteinderpolder,HW-aalsmeer-de-horntocht-van-de-oosteinderpolder,,De Horntocht van de Oosteinderpolder,De Horntocht van de Oosteinderpolder,,De Horntocht van de Oosteinderpolder,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"De Horntocht van de Oosteinderpolder | De Horntocht van de Oosteinderpolder | [""De Horntocht van de Oosteinderpolder""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-de-molenvliet::aalsmeer::3,HW-aalsmeer-de-molenvliet,HW-aalsmeer-de-molenvliet,,De Molenvliet,De Molenvliet,,De Molenvliet,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"De Molenvliet | De Molenvliet | [""De Molenvliet""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-oosteinderpoel::aalsmeer::4,HW-aalsmeer-oosteinderpoel,HW-aalsmeer-oosteinderpoel,,Oosteinderpoel,Oosteinderpoel,,Oosteinderpoel,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"Oosteinderpoel | Oosteinderpoel | [""Oosteinderpoel""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-de-horn-en-stommeerpolder::aalsmeer::5,HW-aalsmeer-de-horn-en-stommeerpolder,HW-aalsmeer-de-horn-en-stommeerpolder,,De Horn- en Stommeerpolder,De Horn- en Stommeerpolder,,De Horn- en Stommeerpolder,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"De Horn- en Stommeerpolder | De Horn- en Stommeerpolder | [""De Horn- en Stommeerpolder""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-de-machinetocht-van-de-oosteinderpolder::aalsmeer::6,HW-aalsmeer-de-machinetocht-van-de-oosteinderpolder,HW-aalsmeer-de-machinetocht-van-de-oosteinderpolder,,De Machinetocht van de Oosteinderpolder,De Machinetocht van de Oosteinderpolder,,De Machinetocht van de Oosteinderpolder,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"De Machinetocht van de Oosteinderpolder | De Machinetocht van de Oosteinderpolder | [""De Machinetocht van de Oosteinderpolder""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-stommerkade::aalsmeer::7,HW-aalsmeer-stommerkade,HW-aalsmeer-stommerkade,,Stommerkade,Stommerkade,,Stommerkade,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"Stommerkade | Stommerkade | [""Stommerkade""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-het-boezemwater::aalsmeer::8,HW-aalsmeer-het-boezemwater,HW-aalsmeer-het-boezemwater,,Het Boezemwater,Het Boezemwater,,Het Boezemwater,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"Het Boezemwater | Het Boezemwater | [""Het Boezemwater""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
HW-aalsmeer-de-schinkelpolder::aalsmeer::9,HW-aalsmeer-de-schinkelpolder,HW-aalsmeer-de-schinkelpolder,,De Schinkelpolder,De Schinkelpolder,,De Schinkelpolder,Aalsmeer,Noord-Holland,Aalsmeer,,0358,Aalsmeer,Noord-Holland,point_in_township,point_in_province,fallback_municipality,True,midwest-west,52.25640267,4.760174733,map_v7,high,not_allowed,False,unknown,,not_allowed,False,❌ ⛺❓ ❌,Nacht: local_permit_only | Schuilmiddel: unknown | 3e hengel: local_permit_only,HSV Vislust te Aalsmeer,,unknown,unknown,fresh,,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,Onbekend,,,,,False,"Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","Voor de Oosteinderpoel en de Aalsmeerse sierwateren geldt:
Het is verboden om alle soorten vissen in bezit te hebben behalve 1
Het is verboden zich op akkers of particulier terrein te begeven.
Het is verboden om auto’s op de berm en beplanting te parkeren.
Het is verboden om de oever en beplanting te beschadigen en afval
Het is verboden te vissen in binnen het gebied gelegen particulier water.
Het is verboden te vissen vanaf de bruggen.
Lokvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verplicht een onthaakmat gebruiken.","kvoer is slechts in beperkte mate toegestaan.
De landelijke nacht- en 3e hengeltoestemming zijn niet geldig in onze
In de Oosteinderpoel is het niet toegestaan om achter de balken te vissen.
Bij het karper vissen bent u verpli",,en 3e hengeltoestemming zijn niet geldig in onze,gezamenlijkelijst2026_2028_v2.PDF,21,21,"[""unknown""]",[],[],high,6,False,False,"De Schinkelpolder | De Schinkelpolder | [""De Schinkelpolder""] | Aalsmeer | Noord-Holland | HSV Vislust te Aalsmeer | Aalsmeer"
