User_UID,Spot,Datum invoer,Locatie,Notes,Foto,Extra Foto 1,Extra Foto 2,Extra Foto 3,Plaats,Provincie,Water Type,Water Formaat,Stek Formaat,Primair Vistype,Nachtvissen,Bodem,privacy_sharing,GPS_arker_radius_m
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Abcoudermeer,27/12/2025,"52.279540, 4.967682",https://www.karpervisseninnederland.nl/utrecht/,assets/images/spots/5.Foto.173002.jpg,assets/images/spots/5.Extra Foto 1.173002.jpg,,,Abcoude,Utrecht,Meer/Plas,Groot,Zeer groot (4+p),Allround,Nee,Onbekend,iedereen,0
2uI3hhry5HZ85BRMzraV0KgQ9XI2,De Zwaan,27/12/2025,"52.155939, 4.911353",https://www.karpervisseninnederland.nl/utrecht/,assets/images/spots/15.Foto.172503.jpg,,,,Spengen,Utrecht,Meer/Plas,Medium,Zeer groot (4+p),Allround,Nee,Onbekend,iedereen,50
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Eendenparadijs,27/12/2025,"52.041414, 5.167890","09/10/2024 Ls: nog nooit geprobeerd, wel bekeken op 5/7/2024, 3 rodpods past makkelijk",assets/images/spots/36.Foto.184244.jpg,assets/images/spots/36.Extra Foto 1.184244.jpg,assets/images/spots/36.Extra Foto 2.184244.jpg,assets/images/spots/36.Extra Foto 3.184249.jpg,Houten,Utrecht,Meer/Plas,Medium,Medium (3p),Karper,Ja,Slibbodem,clubleden en vrienden,100
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Haarrijnseplas,27/12/2025,"52.110503, 5.180051",https://www.karpervisseninnederland.nl/utrecht/,assets/images/spots/13.Foto.201011.jpg,assets/images/spots/7.Extra Foto 1.165421.jpg,,,Vleuten,Utrecht,Meer/Plas,Groot,Medium (3p),Karper,Ja,Zandbodem,alleen club,75
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Nederrijn - Oude Steenfabriek - Elst,27/12/2025,"51.984968, 5.482534",- https://www.sportvisserijnederland.nl/actueel/nieuws/26730/Roofvissen%20op%20de%20Nederrijn%20in%20VIS%20TV%20(video).html - Tsunami gevaar in hoek eerste krib,assets/images/spots/Steenfabriek Elst.Foto.183601.jpg,assets/images/spots/Steenfabriek Elst.Extra Foto 1.183601.jpg,assets/images/spots/Steenfabriek Elst.Extra Foto 2.183601.jpg,assets/images/spots/31.Extra Foto 3.204025.jpg,Elst,Utrecht,Rivier,Groot,Zeer groot (4+p),Roofvis,Ja,Kleibodem,alleen vrienden,200
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Nederrijn - Veerpont Elst Ingen - Elst,27/12/2025,"51.980789, 5.497406","Pont €2,20",assets/images/spots/30.Foto.200752.jpg,,,,Elst,Utrecht,Rivier,Groot,Zeer groot (4+p),Roofvis,Ja,Kleibodem,iedereen,0
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Meerpaal - Windmolenpark,27/12/2025,"52.014603, 5.151498",- Vervelende windmolen - vaak controle - open vlakte dus veel wind - Wel hele mooie vogels,assets/images/spots/Windmolenpark.Afbeeldingen.190007.jpg,assets/images/spots/18.Extra Foto 1.164914.jpg,assets/images/spots/18.Extra Foto 2.171918.jpg,,Houten,Utrecht,Meer/Plas,Medium,Zeer groot (4+p),Karper,Ja,Slibbodem,iedereen,0
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Zeumeren,27/12/2025,"52.173983, 5.625347",https://www.sportvisserijmidwestnederland.nl/actueel/4817/ruimere-sportvisserijmogelijkheden-recreatiegebied-zeumeren.html,assets/images/spots/34.Foto.195050.jpg,,,,Voorthuizen,Gelderland,Meer/Plas,Groot,Medium (3p),Karper,Ja,Onbekend,iedereen,0
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Put v Nederhorst,27/12/2025,"52.962303, 5.744395","In de buurt van Langweer. Idyllische hoek, lastig",assets/images/spots/44.Foto.222505.jpg,assets/images/spots/44.Extra Foto 1.222505.jpg,,,Langweer / Langwar,Fryslân,Meer/Plas,Medium,Medium (3p),Allround,Ja,Zandbodem,iedereen,50
2uI3hhry5HZ85BRMzraV0KgQ9XI2,Meerpaal - Lichtschip,27/12/2025,"52.018370, 5.151979",,assets/images/spots/45.Foto.140910.jpg,assets/images/spots/45.Extra Foto 1.140910.jpg,,,Houten,Utrecht,Sloot/Beek,Klein,Medium (3p),Karper,Ja,Kleibodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,2e veld - 1,27/12/2025,"52.038393, 5.115015",Andere kant amsterdam rijnkanaal,assets/images/spots/2.Foto.195905.jpg,assets/images/spots/2.Extra Foto 1.195854.jpg,,,Nieuwegein,Utrecht,Sloot/Beek,Klein,Medium (3p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,2e veld - 2,27/12/2025,"52.040123, 5.116693",,assets/images/spots/11.Foto.173313.jpg,,,,Nieuwegein,Utrecht,Sloot/Beek,Klein,Klein (2p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,2e veld - 3,27/12/2025,"52.040560, 5.117213",2 rodpods maximaal,assets/images/spots/2e veld spot 3.Foto.193301.jpg,assets/images/spots/2e veld spot 3.Extra Foto 1.193301.jpg,assets/images/spots/2e veld spot 3.Extra Foto 2.193301.jpg,,Nieuwegein,Utrecht,Sloot/Beek,Klein,Klein (2p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,2e veld - 4,27/12/2025,"52.041953, 5.117532",Te klein voor 6 hengels,assets/images/spots/2e veld spot 4.Afbeeldingen.190318.jpg,assets/images/spots/2e veld spot 4.Extra Foto 1.193132.jpg,assets/images/spots/2e veld spot 4.Extra Foto 2.193133.jpg,assets/images/spots/5.Extra Foto 3.181956.jpg,Nieuwegein,Utrecht,Sloot/Beek,Klein,Klein (2p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,2e veld - 5,27/12/2025,"52.041647, 5.117781",,assets/images/spots/2e veld geheime nog onontdekte spot.Afbeeldingen.190332.jpg,,,,Nieuwegein,Utrecht,Sloot/Beek,Klein,Zeer klein (1p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,A’dam Rijnkanaal - Spoorbrug,27/12/2025,"52.004910, 5.187396",- Onder de Schalkwijksebrug - Evt toplood tegen Scheepvaart,assets/images/spots/43.Foto.180125.jpg,assets/images/spots/43.Extra Foto 1.180125.jpg,assets/images/spots/43.Extra Foto 2.180125.jpg,assets/images/spots/7.Extra Foto 3.203944.jpg,Schalkwijk,Utrecht,Kanaal,Groot,Groot (4p),Allround,Ja,Kleibodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,A'dam Rijnkanaal - Staart,27/12/2025,"52.026147, 5.129996",,assets/images/spots/38.Foto.211113.jpg,,,,Houten,Utrecht,Kanaal,Groot,Zeer groot (4+p),Roofvis,Ja,Zandbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,Het Hammetje,27/12/2025,"52.201081, 5.437971",- Vissen niet toegestaan - aardbei boilies beste smaak of mais,assets/images/spots/Het Hammetje.Afbeeldingen.195124.jpg,,,,Amersfoort,Utrecht,Meer/Plas,Groot,Zeer groot (4+p),Allround,Ja,Zandbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,Eiland v Maurik - Hondenstrand,27/12/2025,"51.972239, 5.412167",- Strand met gladde scherpe stenen - veel lijnbreuk,assets/images/spots/37.Foto.193220.jpg,assets/images/spots/37.Extra Foto 1.193505.jpg,,,Maurik,Gelderland,Meer/Plas,Groot,Zeer groot (4+p),Roofvis,Ja,Kleibodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,Fort Lunetten I,27/12/2025,"52.076410, 5.141985","Mag enkel rond het fort, niet de brug over",assets/images/spots/39.Foto.211951.jpg,,,,Utrecht,Utrecht,Sloot/Beek,Klein,Klein (2p),Witvis,Nee,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,Inundatiekanaal 1,27/12/2025,"52.001844, 5.161910",,assets/images/spots/Inundatiekanaal - Schalkwijk.Foto.200634.jpg,assets/images/spots/Inundatiekanaal - Schalkwijk.Extra Foto 1.200634.jpg,assets/images/spots/Inundatiekanaal - Schalkwijk.Extra Foto 2.200634.jpg,,Schalkwijk,Utrecht,Kanaal,Klein,Klein (2p),Karper,Ja,Slibbodem,iedereen,50
WVuxCFo12paiyA5Mn7WrED7VRBs2,Inundatiekanaal 2,27/12/2025,"52.002267, 5.162230",- Drassig,assets/images/spots/Inundatiekanaal - Schalwijk.Foto.200316.jpg,,,,Schalkwijk,Utrecht,Kanaal,Klein,Medium (3p),Karper,Ja,Slibbodem,iedereen,50
